No;Title;Year;Genre;Origin;Director;Star;IMDB link
110;Metropolis;1927;Drama;Germany;Fritz Lang;Brigitte Helm;https://www.imdb.com/title/tt0017136
111;Jodaeiye Nader az Simin;2011;Drama;Iran;Asghar Farhadi;Payman Maadi;https://www.imdb.com/title/tt1832382
112;Indiana Jones and the Last Crusade;1989;Adventure;USA;Steven Spielberg;Harrison Ford;https://www.imdb.com/title/tt0097576
113;Rashômon;1950;Drama;Japan;Akira Kurosawa;Toshirô Mifune;https://www.imdb.com/title/tt0042876
114;Up;2009;Adventure;USA;Pete Docter;Edward Asner;https://www.imdb.com/title/tt1049413
115;All About Eve;1950;Drama;USA;Joseph L. Mankiewicz;Bette Davis;https://www.imdb.com/title/tt0042192
116;Batman Begins;2005;Adventure;USA;Christopher Nolan;Christian Bale;https://www.imdb.com/title/tt0372784
117;Yôjinbô;1961;Drama;Japan;Akira Kurosawa;Toshirô Mifune;https://www.imdb.com/title/tt0055630
118;Some Like It Hot;1959;Comedy;USA;Billy Wilder;Marilyn Monroe;https://www.imdb.com/title/tt0053291
119;Unforgiven;1992;Western;USA;Clint Eastwood;Clint Eastwood;https://www.imdb.com/title/tt0105695
120;Der Untergang;2004;Drama;Italy;Oliver Hirschbiegel;Bruno Ganz;https://www.imdb.com/title/tt0363163
121;Die Hard;1988;Action;USA;John McTiernan;Bruce Willis;https://www.imdb.com/title/tt0095016
122;The Treasure of the Sierra Madre;1948;Western;USA;John Huston;Humphrey Bogart;https://www.imdb.com/title/tt0040897
123;Heat;1995;Drama;USA;Michael Mann;Al Pacino;https://www.imdb.com/title/tt0113277
124;Ikiru;1952;Drama;Japan;Akira Kurosawa;Takashi Shimura;https://www.imdb.com/title/tt0044741
125;Incendies;2010;Drama;Canada;Denis Villeneuve;Lubna Azabal;https://www.imdb.com/title/tt1255953
126;Raging Bull;1980;Drama;USA;Martin Scorsese;Robert De Niro;https://www.imdb.com/title/tt0081398
127;The Great Escape;1963;Thriller;USA;John Sturges;Steve McQueen;https://www.imdb.com/title/tt0057115
128;Bacheha-Ye aseman;1997;Drama;Iran;Majid Majidi;Mohammad Amir Naji;https://www.imdb.com/title/tt0118849
129;El laberinto del fauno;2006;Drama;Mexico;Guillermo del Toro;Ivana Baquero;https://www.imdb.com/title/tt0457430
