No;Title;Year;Genre;Origin;Director;Star;IMDB link
185;Life of Brian;1979;Comedy;UK;Terry Jones;Graham Chapman;https://www.imdb.com/title/tt0079470
186;In the Name of the Father;1993;Drama;UK;Jim Sheridan;Daniel Day-Lewis;https://www.imdb.com/title/tt0107207
187;The Truman Show;1998;Drama;USA;Peter Weir;Jim Carrey;https://www.imdb.com/title/tt0120382
188;The Grand Budapest Hotel;2014;Drama;USA;Wes Anderson;Ralph Fiennes;https://www.imdb.com/title/tt2278388
189;Platoon;1986;Drama;USA;Oliver Stone;Charlie Sheen;https://www.imdb.com/title/tt0091763
190;Stand by Me;1986;Drama;USA;Rob Reiner;Wil Wheaton;https://www.imdb.com/title/tt0092005
191;It Happened One Night;1934;Comedy;USA;Frank Capra;Clark Gable;https://www.imdb.com/title/tt0025316
192;Eskiya ;1996;Drama;Turkey;Yavuz Turgul;Þener Þen;https://www.imdb.com/title/tt0116231
193;Network;1976;Drama;USA;Sidney Lumet;Faye Dunaway;https://www.imdb.com/title/tt0074958
194;Stalker;1979;Drama;Soviet Union;Andrei Tarkovsky;Alisa Freyndlikh;https://www.imdb.com/title/tt0079944
195;Persona;1966;Drama;Sweden;Ingmar Bergman;Bibi Andersson;https://www.imdb.com/title/tt0060827
196;Salinui chueok;2003;Thriller;South Korea;Joon-ho Bong;Song Kang-ho;https://www.imdb.com/title/tt0353969
197;Ben-Hur;1959;History;USA;William Wyler;Charlton Heston;https://www.imdb.com/title/tt0052618
198;Hotel Rwanda;2004;History;South Africa;Terry George;Don Cheadle;https://www.imdb.com/title/tt0395169
199;12 Years a Slave;2013;History;USA;Steve McQueen;Chiwetel Ejiofor;https://www.imdb.com/title/tt2024544
200;Million Dollar Baby;2004;Drama;USA;Clint Eastwood;Hilary Swank;https://www.imdb.com/title/tt0405159
201;La passion de Jeanne d'Arc;1928;History;France;Carl Theodor Dreyer;Maria Falconett;https://www.imdb.com/title/tt0019254
202;Rush;2013;Drama;Germany;Ron Howard;Daniel Brühl;https://www.imdb.com/title/tt1979320
203;Andrey Rublev;1966;History;Soviet Union;Andrei Tarkovsky;Anatoliy Solonitsyn;https://www.imdb.com/title/tt0060107
204;Le salaire de la peur;1953;Drama;Italy;Henri-Georges Clouzot;Yves Montand;https://www.imdb.com/title/tt0046268
205;Before Sunrise;1995;Romance;Switzerland;Richard Linklater;Ethan Hawke;https://www.imdb.com/title/tt0112471
206;Mad Max: Fury Road;2015;Adventure;USA;George Miller;Tom Hardy;https://www.imdb.com/title/tt1392190
207;Les quatre cents coups;1959;Drama;France;François Truffaut;Jean-Pierre Léaud;https://www.imdb.com/title/tt0053198
208;Prisoners;2013;Drama;USA;Denis Villeneuve;Hugh Jackman;https://www.imdb.com/title/tt1392214
209;Hachi: A Dog's Tale;2009;Drama;USA;Lasse Hallström;Richard Gere;https://www.imdb.com/title/tt1028532
210;Spotlight;2015;Drama;USA;Tom McCarthy;Mark Ruffalo;https://www.imdb.com/title/tt1895587
211;Logan;2017;Drama;USA;James Mangold;Hugh Jackman;https://www.imdb.com/title/tt3315342
212;Rang De Basanti;2006;Drama;India;Rakeysh Omprakash Mehra;Aamir Khan;https://www.imdb.com/title/tt0405508
213;Amores perros;2000;Drama;Mexico;Alejandro G. Iñárritu;Emilio Echevarría;https://www.imdb.com/title/tt0245712
214;The Princess Bride;1987;Romance;USA;Rob Reiner;Cary Elwes;https://www.imdb.com/title/tt0093779
215;Catch Me If You Can;2002;Drama;Canada;Steven Spielberg;Leonardo DiCaprio;https://www.imdb.com/title/tt0264464
216;Kaze no tani no Naushika;1984;Adventure;Japan;Hayao Miyazaki;Sumi Shimamoto;https://www.imdb.com/title/tt0087544
217;Harry Potter and the Deathly Hallows: Part 2;2011;Drama;USA;David Yates;Daniel Radcliffe;https://www.imdb.com/title/tt1201607
218;Butch Cassidy and the Sundance Kid;1969;Western;USA;George Roy Hill;Paul Newma;https://www.imdb.com/title/tt0064115
219;Rocky;1976;Drama;USA;John G. Avildsen;Sylvester Stallone;https://www.imdb.com/title/tt0075148
220;Barry Lyndon;1975;War;USA;Stanley Kubrick;Ryan O'Neal;https://www.imdb.com/title/tt0072684
221;Monsters, Inc.;2001;Comedy;USA;Pete Docter;Billy Crystal;https://www.imdb.com/title/tt0198781
222;The Grapes of Wrath;1940;Drama;USA;John Ford;Henry Fonda;https://www.imdb.com/title/tt0032551
223;The Maltese Falcon;1941;Mystery;USA;John Huston;Humphrey Bogart;https://www.imdb.com/title/tt0033870
224;Dead Poets Society;1989;Drama;USA;Peter Weir;Robin Williams;https://www.imdb.com/title/tt0097165
225;Donnie Darko;2001;Drama;USA;Richard Kelly;Jake Gyllenhaal;https://www.imdb.com/title/tt0246578
226;The Terminator;1984;Action;USA;James Cameron;Arnold Schwarzenegger;https://www.imdb.com/title/tt0088247
227;Gandhi;1982;Drama;India;Richard Attenborough;Ben Kingsley;https://www.imdb.com/title/tt0083987
228;Les diaboliques;1955;Thriller;France;Henri-Georges Clouzot;Simone Signoret;https://www.imdb.com/title/tt0046911
229;La haine;1995;Drama;France;Mathieu Kassovitz;Vincent Cassel;https://www.imdb.com/title/tt0113247
230;Groundhog Day;1993;Comedy;USA;Harold Ramis;Bill Murray;https://www.imdb.com/title/tt0107048
231;The Wizard of Oz;1939;Fantasy;USA;Victor Fleming;Judy Garland;https://www.imdb.com/title/tt0032138
232;Jaws;1975;Drama;USA;Steven Spielberg;Roy Scheider;https://www.imdb.com/title/tt0073195
233;Le notti di Cabiria;1957;Drama;Italy;Federico Fellini;Giulietta Masina;https://www.imdb.com/title/tt0050783
234;The Help;2011;Drama;India;Tate Taylor;Viola Davis;https://www.imdb.com/title/tt1454029
235;Faa yeung nin wa;2000;Romance;Hong Kong;Kar-Wai Wong;Tony Leung Chiu-wai,;https://www.imdb.com/title/tt0118694
236;Mandariinid;2013;Drama;Georgia;Zaza Urushadze;Lembit Ulfsak;https://www.imdb.com/title/tt2991224
237;Before Sunset;2004;Romance;USA;Richard Linklater;Ethan Hawke;https://www.imdb.com/title/tt0381681
238;Paper Moon;1973;Drama;USA;Peter Bogdanovich;Ryan O'Neal;https://www.imdb.com/title/tt0070510
239;Ah-ga-ssi;2016;Romance;South Korea;Chan-wook Park;Kim Min-hee;https://www.imdb.com/title/tt4016934
240;Paris, Texas;1984;Drama;West Germany;Wim Wenders;Harry Dean Stanton;https://www.imdb.com/title/tt0087884
241;The Best Years of Our Lives;1946;Romance;USA;William Wyler;Myrna Loy;https://www.imdb.com/title/tt0036868
242;Tenkû no shiro Rapyuta;1986;Drama;Japan;Hayao Miyazaki;Mayumi Tanaka;https://www.imdb.com/title/tt0092067
243;Pirates of the Caribbean: The Curse of the Black Pearl;2003;Adventure;USA;Gore Verbinski;Johnny Depp;https://www.imdb.com/title/tt0325980
244;Blade Runner 2049;2017;Drama;Canada;Denis Villeneuve;Ryan Gosling;https://www.imdb.com/title/tt1856101
245;La La Land;2016;Comedy;Hong Kong;Damien Chazelle;Ryan Gosling;https://www.imdb.com/title/tt3783958
246;Guardians of the Galaxy;2014;Adventure;USA;James Gunn;Chris Pratt;https://www.imdb.com/title/tt2015381
247;Fanny och Alexander;1982;Drama;Sweden;Ingmar Bergman;Bertil Guve;https://www.imdb.com/title/tt0083922
248;Tsubaki Sanjûrô;1962;Drama;Japan;Akira Kurosawa;Toshirô Mifune;https://www.imdb.com/title/tt0056443
249;Gangs of Wasseypur;2012;Comedy;India;Anurag Kashyap;Manoj Bajpayee;https://www.imdb.com/title/tt1954470
250;Drishyam ;2015;Drama;India;Nishikant Kamat;Ajay Devgn;https://www.imdb.com/title/tt4430212
